Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,239.000000,246.649994,232.050003,239.800003,227.724152,19510869
2019-10-10,229.000000,240.750000,185.300003,195.350006,185.512573,73340563
2019-10-11,190.550003,218.000000,176.500000,209.899994,199.329849,89330792
2019-10-14,211.000000,215.600006,193.600006,197.800003,187.839203,42427671
2019-10-15,187.000000,196.399994,182.199997,189.100006,179.577316,45404398
2019-10-16,189.100006,195.000000,166.949997,173.050003,164.335556,50261582
2019-10-17,168.449997,204.000000,165.800003,197.949997,187.981628,86561554
2019-10-18,198.000000,259.950012,196.500000,231.199997,219.557220,71353309
2019-10-22,239.000000,252.000000,205.350006,218.000000,207.021957,73100530
2019-10-23,218.000000,224.899994,202.100006,206.149994,195.768692,55990220
2019-10-24,210.000000,219.000000,196.050003,200.300003,190.213303,42804690
2019-10-25,203.000000,206.399994,181.350006,186.149994,176.775848,42507989
2019-10-27,null,null,null,null,null,null
2019-10-29,189.250000,233.800003,186.050003,218.699997,207.686707,63766001
2019-10-30,217.800003,229.250000,204.050003,214.250000,203.460800,58184693
2019-10-31,216.149994,220.000000,204.050003,206.649994,196.243515,48717825
2019-11-01,208.699997,236.399994,207.500000,218.600006,207.591751,60257905
2019-11-04,218.600006,228.800003,214.500000,218.800003,207.781677,42777294
2019-11-05,218.800003,232.649994,217.699997,225.050003,213.716934,47637319
2019-11-06,227.300003,238.600006,216.100006,219.399994,208.351456,47692066
2019-11-07,230.000000,262.399994,229.300003,238.350006,226.347183,94317381
2019-11-08,237.000000,260.000000,228.350006,241.649994,229.480988,77850817
2019-11-11,243.000000,255.600006,236.350006,238.550003,226.537109,59535881
2019-11-13,241.000000,245.600006,215.199997,218.250000,207.259369,47625825
2019-11-14,222.500000,223.850006,208.100006,211.350006,200.706833,45073367
2019-11-15,212.399994,218.850006,207.500000,210.300003,199.709717,35716132
2019-11-18,205.000000,215.699997,200.500000,208.699997,205.014343,41305424
2019-11-19,210.199997,218.000000,210.050003,212.699997,208.943710,28626369
2019-11-20,214.000000,216.000000,206.600006,208.199997,204.523178,22849941
2019-11-21,209.500000,235.300003,204.550003,231.550003,227.460831,53888172
2019-11-22,236.500000,244.899994,231.399994,237.350006,233.158401,58500860
2019-11-25,234.000000,266.000000,233.199997,259.450012,254.868118,56913283
2019-11-26,267.950012,281.549988,256.600006,259.049988,254.475159,96013905
2019-11-27,265.100006,270.700012,259.100006,268.149994,263.414459,34033191
2019-11-28,274.500000,347.799988,272.200012,334.750000,328.838318,168963840
2019-11-29,354.450012,376.700012,268.100006,290.500000,285.369751,173409205
2019-12-02,292.500000,309.000000,271.450012,304.149994,298.778687,97863806
2019-12-03,306.049988,312.000000,284.000000,290.850006,285.713593,57512598
2019-12-04,291.000000,297.950012,282.299988,288.200012,283.110382,41360659
2019-12-05,289.350006,294.250000,283.000000,285.100006,280.065125,22587702
2019-12-06,287.899994,295.200012,270.149994,272.450012,267.638550,38593431
2019-12-09,275.000000,277.200012,254.000000,258.950012,254.376953,51482598
2019-12-10,261.000000,277.600006,259.299988,269.700012,264.937103,55393829
2019-12-11,278.000000,278.500000,255.199997,268.350006,263.610931,43168486
2019-12-12,273.000000,295.549988,265.100006,291.250000,286.106506,49477781
